09 0c 75 xx xx xx xx - or [rsi * 2 + x], ecx
09 0c 76 - or [rsi + rsi * 2], ecx
09 0c 77 - or [rdi + rsi * 2], ecx
09 0c 78 - or [rax + rdi * 2], ecx
09 0c 79 - or [rcx + rdi * 2], ecx
09 0c 7a - or [rdx + rdi * 2], ecx
09 0c 7b - or [rbx + rdi * 2], ecx
09 0c 7c - or [rsp + rdi * 2], ecx
09 0c 7d xx xx xx xx - or [rdi * 2 + x], ecx
09 0c 7e - or [rsi + rdi * 2], ecx
09 0c 7f - or [rdi + rdi * 2], ecx
09 0c 80 - or [rax + rax * 4], ecx
09 0c 81 - or [rcx + rax * 4], ecx
09 0c 82 - or [rdx + rax * 4], ecx
09 0c 83 - or [rbx + rax * 4], ecx
09 0c 84 - or [rsp + rax * 4], ecx
09 0c 85 xx xx xx xx - or [rax * 4 + x], ecx
09 0c 86 - or [rsi + rax * 4], ecx
09 0c 87 - or [rdi + rax * 4], ecx
09 0c 88 - or [rax + rcx * 4], ecx
09 0c 89 - or [rcx + rcx * 4], ecx
09 0c 8a - or [rdx + rcx * 4], ecx
09 0c 8b - or [rbx + rcx * 4], ecx
09 0c 8c - or [rsp + rcx * 4], ecx
09 0c 8d xx xx xx xx - or [rcx * 4 + x], ecx
09 0c 8e - or [rsi + rcx * 4], ecx
09 0c 8f - or [rdi + rcx * 4], ecx
09 0c 90 - or [rax + rdx * 4], ecx
09 0c 91 - or [rcx + rdx * 4], ecx
09 0c 92 - or [rdx + rdx * 4], ecx
09 0c 93 - or [rbx + rdx * 4], ecx
09 0c 94 - or [rsp + rdx * 4], ecx
09 0c 95 xx xx xx xx - or [rdx * 4 + x], ecx
09 0c 96 - or [rsi + rdx * 4], ecx
09 0c 97 - or [rdi + rdx * 4], ecx
09 0c 98 - or [rax + rbx * 4], ecx
09 0c 99 - or [rcx + rbx * 4], ecx
09 0c 9a - or [rdx + rbx * 4], ecx
09 0c 9b - or [rbx + rbx * 4], ecx
09 0c 9c - or [rsp + rbx * 4], ecx
09 0c 9d xx xx xx xx - or [rbx * 4 + x], ecx
09 0c 9e - or [rsi + rbx * 4], ecx
09 0c 9f - or [rdi + rbx * 4], ecx
09 0c a0 - or [rax], ecx
09 0c a1 - or [rcx], ecx
09 0c a2 - or [rdx], ecx
09 0c a3 - or [rbx], ecx
09 0c a4 - or [rsp], ecx
09 0c a5 xx xx xx xx - or [x], ecx
09 0c a6 - or [rsi], ecx
09 0c a7 - or [rdi], ecx
09 0c a8 - or [rax + rbp * 4], ecx
09 0c a9 - or [rcx + rbp * 4], ecx
09 0c aa - or [rdx + rbp * 4], ecx
09 0c ab - or [rbx + rbp * 4], ecx
09 0c ac - or [rsp + rbp * 4], ecx
09 0c ad xx xx xx xx - or [rbp * 4 + x], ecx
09 0c ae - or [rsi + rbp * 4], ecx
09 0c af - or [rdi + rbp * 4], ecx
09 0c b0 - or [rax + rsi * 4], ecx
09 0c b1 - or [rcx + rsi * 4], ecx
09 0c b2 - or [rdx + rsi * 4], ecx
09 0c b3 - or [rbx + rsi * 4], ecx
09 0c b4 - or [rsp + rsi * 4], ecx
09 0c b5 xx xx xx xx - or [rsi * 4 + x], ecx
09 0c b6 - or [rsi + rsi * 4], ecx
09 0c b7 - or [rdi + rsi * 4], ecx
09 0c b8 - or [rax + rdi * 4], ecx
09 0c b9 - or [rcx + rdi * 4], ecx
09 0c ba - or [rdx + rdi * 4], ecx
09 0c bb - or [rbx + rdi * 4], ecx
09 0c bc - or [rsp + rdi * 4], ecx
09 0c bd xx xx xx xx - or [rdi * 4 + x], ecx
09 0c be - or [rsi + rdi * 4], ecx
09 0c bf - or [rdi + rdi * 4], ecx
09 0c c0 - or [rax + rax * 8], ecx
09 0c c1 - or [rcx + rax * 8], ecx
09 0c c2 - or [rdx + rax * 8], ecx
09 0c c3 - or [rbx + rax * 8], ecx
09 0c c4 - or [rsp + rax * 8], ecx
09 0c c5 xx xx xx xx - or [rax * 8 + x], ecx
09 0c c6 - or [rsi + rax * 8], ecx
09 0c c7 - or [rdi + rax * 8], ecx
09 0c c8 - or [rax + rcx * 8], ecx
09 0c c9 - or [rcx + rcx * 8], ecx
09 0c ca - or [rdx + rcx * 8], ecx
09 0c cb - or [rbx + rcx * 8], ecx
09 0c cc - or [rsp + rcx * 8], ecx
09 0c cd xx xx xx xx - or [rcx * 8 + x], ecx
09 0c ce - or [rsi + rcx * 8], ecx
