01 0c dc - add [rsp + rbx * 8], ecx
01 0c dd xx xx xx xx - add [rbx * 8 + x], ecx
01 0c de - add [rsi + rbx * 8], ecx
01 0c df - add [rdi + rbx * 8], ecx
01 0c e0 - add [rax], ecx
01 0c e1 - add [rcx], ecx
01 0c e2 - add [rdx], ecx
01 0c e3 - add [rbx], ecx
01 0c e4 - add [rsp], ecx
01 0c e5 xx xx xx xx - add [x], ecx
01 0c e6 - add [rsi], ecx
01 0c e7 - add [rdi], ecx
01 0c e8 - add [rax + rbp * 8], ecx
01 0c e9 - add [rcx + rbp * 8], ecx
01 0c ea - add [rdx + rbp * 8], ecx
01 0c eb - add [rbx + rbp * 8], ecx
01 0c ec - add [rsp + rbp * 8], ecx
01 0c ed xx xx xx xx - add [rbp * 8 + x], ecx
01 0c ee - add [rsi + rbp * 8], ecx
01 0c ef - add [rdi + rbp * 8], ecx
01 0c f0 - add [rax + rsi * 8], ecx
01 0c f1 - add [rcx + rsi * 8], ecx
01 0c f2 - add [rdx + rsi * 8], ecx
01 0c f3 - add [rbx + rsi * 8], ecx
01 0c f4 - add [rsp + rsi * 8], ecx
01 0c f5 xx xx xx xx - add [rsi * 8 + x], ecx
01 0c f6 - add [rsi + rsi * 8], ecx
01 0c f7 - add [rdi + rsi * 8], ecx
01 0c f8 - add [rax + rdi * 8], ecx
01 0c f9 - add [rcx + rdi * 8], ecx
01 0c fa - add [rdx + rdi * 8], ecx
01 0c fb - add [rbx + rdi * 8], ecx
01 0c fc - add [rsp + rdi * 8], ecx
01 0c fd xx xx xx xx - add [rdi * 8 + x], ecx
01 0c fe - add [rsi + rdi * 8], ecx
01 0c ff - add [rdi + rdi * 8], ecx
01 0d xx xx xx xx - add [rip + x], ecx
01 0e - add [rsi], ecx
01 0f - add [rdi], ecx

01 10 - add [rax], edx
01 11 - add [rcx], edx
01 12 - add [rdx], edx
01 13 - add [rbx], edx
01 14 01 - add [rax + rax], edx
01 14 01 - add [rcx + rax], edx
01 14 02 - add [rdx + rax], edx
01 14 03 - add [rbx + rax], edx
01 14 04 - add [rsp + rax], edx
01 14 05 xx xx xx xx - add [rax + x], edx
01 14 06 - add [rsi + rax], edx
01 14 07 - add [rdi + rax], edx
01 14 08 - add [rax + rcx], edx
01 14 09 - add [rcx + rcx], edx
01 14 0a - add [rdx + rcx], edx
01 14 0b - add [rbx + rcx], edx
01 14 0c - add [rsp + rcx], edx
01 14 0d xx xx xx xx - add [rcx + x], edx
01 14 0e - add [rsi + rcx], edx
01 14 0f - add [rdi + rcx], edx
01 14 10 - add [rax + rdx], edx
01 14 11 - add [rcx + rdx], edx
01 14 12 - add [rdx + rdx], edx
01 14 13 - add [rbx + rdx], edx
01 14 14 - add [rsp + rdx], edx
01 14 15 xx xx xx xx - add [rdx + x], edx
01 14 16 - add [rsi + rdx], edx
01 14 17 - add [rdi + rdx], edx
01 14 18 - add [rax + rbx], edx
01 14 19 - add [rcx + rbx], edx
01 14 1a - add [rdx + rbx], edx
01 14 1b - add [rbx + rbx], edx
01 14 1c - add [rsp + rbx], edx
01 14 1d xx xx xx xx - add [rbx + x], edx
01 14 1e - add [rsi + rbx], edx
01 14 1f - add [rdi + rbx], edx
01 14 20 - add [rax], edx
01 14 21 - add [rcx], edx
01 14 22 - add [rdx], edx
01 14 23 - add [rbx], edx
01 14 24 - add [rsp], edx
01 14 25 xx xx xx xx - add [x], edx
01 14 26 - add [rsi], edx
01 14 27 - add [rdi], edx
01 14 28 - add [rax + rbp], edx
01 14 29 - add [rcx + rbp], edx
01 14 2a - add [rdx + rbp], edx
01 14 2b - add [rbx + rbp], edx
01 14 2c - add [rsp + rbp], edx
01 14 2d xx xx xx xx - add [rbp + x], edx
01 14 2e - add [rsi + rbp], edx
01 14 2f - add [rdi + rbp], edx
01 14 30 - add [rax + rsi], edx
01 14 31 - add [rcx + rsi], edx
01 14 32 - add [rdx + rsi], edx
01 14 33 - add [rbx + rsi], edx
01 14 34 - add [rsp + rsi], edx
01 14 35 xx xx xx xx - add [rsi + x], edx
01 14 36 - add [rsi + rsi], edx
01 14 37 - add [rdi + rsi], edx
01 14 38 - add [rax + rdi], edx
01 14 39 - add [rcx + rdi], edx
01 14 3a - add [rdx + rdi], edx
01 14 3b - add [rbx + rdi], edx
01 14 3c - add [rsp + rdi], edx
01 14 3d xx xx xx xx - add [rdi + x], edx
01 14 3e - add [rsi + rdi], edx
01 14 3f - add [rdi + rdi], edx
01 14 40 - add [rax + rax * 2], edx
01 14 41 - add [rcx + rax * 2], edx
01 14 42 - add [rdx + rax * 2], edx
01 14 43 - add [rbx + rax * 2], edx
01 14 44 - add [rsp + rax * 2], edx
01 14 45 xx xx xx xx - add [rax * 2 + x], edx
01 14 46 - add [rsi + rax * 2], edx
01 14 47 - add [rdi + rax * 2], edx
01 14 48 - add [rax + rcx * 2], edx
01 14 49 - add [rcx + rcx * 2], edx
01 14 4a - add [rdx + rcx * 2], edx
01 14 4b - add [rbx + rcx * 2], edx
01 14 4c - add [rsp + rcx * 2], edx
01 14 4d xx xx xx xx - add [rcx * 2 + x], edx
01 14 4e - add [rsi + rcx * 2], edx
01 14 4f - add [rdi + rcx * 2], edx
01 14 50 - add [rax + rdx * 2], edx
01 14 51 - add [rcx + rdx * 2], edx
01 14 52 - add [rdx + rdx * 2], edx
01 14 53 - add [rbx + rdx * 2], edx
01 14 54 - add [rsp + rdx * 2], edx
01 14 55 xx xx xx xx - add [rdx * 2 + x], edx
01 14 56 - add [rsi + rdx * 2], edx
01 14 57 - add [rdi + rdx * 2], edx
01 14 58 - add [rax + rbx * 2], edx
01 14 59 - add [rcx + rbx * 2], edx
